postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS167JW,BS16,7JW,BS16 7JW,South Gloucestershire Council,SolarPanels,1,11,1,7,4.57
BA16HH,BA1,6HH,BA1 6HH,Bath and North East Somerset Council,SolarPanels,1,8,1,5,3.32
BS65DX,BS6,5DX,BS6 5DX,Bristol City Council,SolarPanels,,6,1,7,2.49
BS482AR,BS48,2AR,BS48 2AR,North Somerset Council,SolarPanels,,10,1,7,4.15
BS91SA,BS9,1SA,BS9 1SA,Bristol City Council,SolarPanels,,5,1,7,2.08
BS483QX,BS48,3QX,BS48 3QX,North Somerset Council,SolarPanels,,10,1,7,4.15
BA28HF,BA2,8HF,BA2 8HF,Bath and North East Somerset Council,SolarPanels,,11,1,7,4.57
BS320HF,BS32,0HF,BS32 0HF,South Gloucestershire Council,SolarPanels,,8,1,7,3.32
BS43DH,BS4,3DH,BS4 3DH,Bristol City Council,SolarPanels,,10,1,7,4.15
BS377DF,BS37,7DF,BS37 7DF,South Gloucestershire Council,SolarPanels,1,6,1,5,2.49
BS312FJ,BS31,2FJ,BS31 2FJ,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS312SH,BS31,2SH,BS31 2SH,Bath and North East Somerset Council,SolarPanels,1,9,1,7,3.74
BS251HJ,BS25,1HJ,BS25 1HJ,North Somerset Council,SolarPanels,,10,1,5,4.15
BS495ES,BS49,5ES,BS49 5ES,North Somerset Council,SolarPanels,,5,1,5,2.08
BA12XE,BA1,2XE,BA1 2XE,Bath and North East Somerset Council,SolarPanels,,12,0,,4.98
BA26TQ,BA2,6TQ,BA2 6TQ,Bath and North East Somerset Council,SolarPanels,,22,1,12,9.13
BS248DS,BS24,8DS,BS24 8DS,North Somerset Council,SolarPanels,,12,1,7,4.98
BS207FG,BS20,7FG,BS20 7FG,North Somerset Council,SolarPanels,,7,1,5,2.91
BS312FT,BS31,2FT,BS31 2FT,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS35DG,BS3,5DG,BS3 5DG,Bristol City Council,SolarPanels,,4,0,,1.66
BS494EL,BS49,4EL,BS49 4EL,North Somerset Council,SolarPanels,,12,0,,4.98
BA17PL,BA1,7PL,BA1 7PL,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BS217BZ,BS21,7BZ,BS21 7BZ,North Somerset Council,SolarPanels,,17,1,7,7.06
BA12ST,BA1,2ST,BA1 2ST,Bath and North East Somerset Council,SolarPanels,,4,1,7,1.66
BA13BL,BA1,3BL,BA1 3BL,Bath and North East Somerset Council,SolarPanels,,7,1,7,2.91
BS296EA,BS29,6EA,BS29 6EA,North Somerset Council,SolarPanels,,18,1,12,7.47
BA22EB,BA2,2EB,BA2 2EB,Bath and North East Somerset Council,SolarPanels,,7,1,5,2.91
BS320DL,BS32,0DL,BS32 0DL,South Gloucestershire Council,SolarPanels,,5,0,,2.08
BS229RS,BS22,9RS,BS22 9RS,North Somerset Council,SolarPanels,,12,1,7,4.98
BA22BQ,BA2,2BQ,BA2 2BQ,Bath and North East Somerset Council,SolarPanels,,8,1,5,3.32
BS419LJ,BS41,9LJ,BS41 9LJ,North Somerset Council,SolarPanels,,10,1,5,4.15
BS419NB,BS41,9NB,BS41 9NB,North Somerset Council,SolarPanels,,18,1,7,7.47
BS311RQ,BS31,1RQ,BS31 1RQ,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BA25RT,BA2,5RT,BA2 5RT,Bath and North East Somerset Council,SolarPanels,,5,1,7,2.08
BA17PN,BA1,7PN,BA1 7PN,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BA26JL,BA2,6JL,BA2 6JL,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BS166DQ,BS16,6DQ,BS16 6DQ,South Gloucestershire Council,SolarPanels,,11,1,5,4.57
BS249NT,BS24,9NT,BS24 9NT,North Somerset Council,RetroFitBattery,,0,1,12,0.00
BA32SB,BA3,2SB,BA3 2SB,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
BA21JP,BA2,1JP,BA2 1JP,Bath and North East Somerset Council,RetroFitBattery,,0,1,5,0.00
BS494LD,BS49,4LD,BS49 4LD,North Somerset Council,SolarPanels,,8,1,5,3.32
BS166ST,BS16,6ST,BS16 6ST,South Gloucestershire Council,SolarPanels,,7,1,5,2.91
GL128LX,GL12,8LX,GL12 8LX,South Gloucestershire Council,RetroFitBattery,,0,1,7,0.00
BS167AZ,BS16,7AZ,BS16 7AZ,South Gloucestershire Council,SolarPanels,,9,1,7,3.74
BS251BN,BS25,1BN,BS25 1BN,North Somerset Council,RetroFitBattery,,0,1,14,0.00
BS311FH,BS31,1FH,BS31 1FH,Bath and North East Somerset Council,SolarPanels,1,10,1,5,4.15
BS70HW,BS7,0HW,BS7 0HW,Bristol City Council,SolarPanels,,8,1,5,3.32
BS329BH,BS32,9BH,BS32 9BH,South Gloucestershire Council,SolarPanels,,16,1,12,6.64
BS309XE,BS30,9XE,BS30 9XE,South Gloucestershire Council,SolarPanels,,12,1,7,4.98
BS484PY,BS48,4PY,BS48 4PY,North Somerset Council,SolarPanels,,0,1,5,0.00
BS78ES,BS7,8ES,BS7 8ES,Bristol City Council,SolarPanels,,8,1,7,3.32
BS494DD,BS49,4DD,BS49 4DD,North Somerset Council,SolarPanels,,10,1,7,4.15
BS494RB,BS49,4RB,BS49 4RB,North Somerset Council,SolarPanels,,7,1,12,2.91
BS309UG,BS30,9UG,BS30 9UG,South Gloucestershire Council,SolarPanels,,13,1,12,5.40
BS375TZ,BS37,5TZ,BS37 5TZ,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BS494AW,BS49,4AW,BS49 4AW,North Somerset Council,SolarPanels,,12,1,7,4.98
BS396UT,BS39,6UT,BS39 6UT,Bath and North East Somerset Council,SolarPanels,,10,1,7,4.15
